Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Shots,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
1,Brenden Aaronson,us USA,MFFW,Leeds United,22-104,2000,17.4,1,26,5,19.2,1.49,0.29,0.04,0.2,18.6,1,0,0,2.4,2.4,0.09,-1.4,-1.4
2,Che Adams,sct SCO,FW,Southampton,26-205,1996,16.4,4,35,13,37.1,2.13,0.79,0.11,0.31,14.4,0,0,0,4.6,4.6,0.13,-0.6,-0.6
3,Tyler Adams,us USA,MF,Leeds United,23-354,1999,17,0,2,0,0,0.12,0,0,,29.4,0,0,0,0,0,0.02,0,0
4,Tosin Adarabioyo,eng ENG,DF,Fulham,25-132,1997,12.2,1,4,2,50,0.33,0.16,0.25,0.5,16.4,0,0,0,0.2,0.2,0.04,0.8,0.8
5,Nayef Aguerd,ma MAR,DF,West Ham,26-310,1996,3.8,0,2,0,0,0.52,0,0,,8,0,0,0,0.5,0.5,0.23,-0.5,-0.5
6,Rayan Aït Nouri,fr FRA,DF,Wolves,21-242,2001,8.7,1,10,5,50,1.15,0.57,0.1,0.2,14.1,0,0,0,0.7,0.7,0.07,0.3,0.3
7,Kristoffer Ajer,no NOR,DF,Brentford,24-292,1998,7.5,0,1,0,0,0.13,0,0,,6,0,0,0,0,0,0.04,0,0
8,Manuel Akanji,ch SUI,DF,Manchester City,27-199,1995,13.3,0,9,1,11.1,0.68,0.08,0,0,17.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5
9,Nathan Aké,nl NED,DF,Manchester City,27-350,1995,11.8,0,4,0,0,0.34,0,0,,10.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2
10,Marc Albrighton,eng ENG,FWMF,Leicester City,33-077,1989,2.6,1,2,1,50,0.76,0.38,0.5,1,8,0,0,0,0.3,0.3,0.17,0.7,0.7
11,Thiago Alcántara,es ESP,MF,Liverpool,31-298,1991,11.9,0,9,1,11.1,0.76,0.08,0,0,25.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4
12,Carlos Alcaraz,ar ARG,MF,Southampton,20-065,2002,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
13,Trent Alexander-Arnold,eng ENG,DF,Liverpool,24-119,1998,15,1,18,3,16.7,1.2,0.2,0.06,0.33,22,2,0,0,1.3,1.3,0.07,-0.3,-0.3
14,Alisson,br BRA,GK,Liverpool,30-124,1992,19,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
15,Dele Alli,eng ENG,MF,Everton,26-298,1996,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
16,Miguel Almirón,py PAR,FW,Newcastle Utd,28-358,1994,18.4,9,46,14,30.4,2.5,0.76,0.2,0.64,17,0,0,0,5.4,5.4,0.12,3.6,3.6
17,Julián Álvarez,ar ARG,FWMF,Manchester City,23-003,2000,5.4,4,16,8,50,2.95,1.48,0.25,0.5,15.3,0,0,0,1.9,1.9,0.12,2.1,2.1
18,Daniel Amartey,gh GHA,DF,Leicester City,28-044,1994,15.2,0,3,2,66.7,0.2,0.13,0,0,25.2,0,0,0,0.1,0.1,0.02,-0.1,-0.1
19,Joachim Andersen,dk DEN,DF,Crystal Palace,26-248,1996,16.4,1,11,5,45.5,0.67,0.3,0.09,0.2,11,0,0,0,1.1,1.1,0.1,-0.1,-0.1
20,Elliot Anderson,sct SCO,FWMF,Newcastle Utd,20-089,2002,1.2,0,4,1,25,3.46,0.87,0,0,12,0,0,0,0.5,0.5,0.12,-0.5,-0.5
21,Jaidon Anthony,eng ENG,MFFW,Bournemouth,23-064,1999,7.1,3,14,10,71.4,1.97,1.4,0.21,0.3,19.3,2,0,0,1.3,1.3,0.1,1.7,1.7
22,Michail Antonio,jm JAM,FW,West Ham,32-312,1990,10.1,2,21,7,33.3,2.09,0.7,0.1,0.29,14.3,0,0,0,2.5,2.5,0.12,-0.5,-0.5
23,Antony,br BRA,FW,Manchester Utd,22-344,2000,9.2,3,31,13,41.9,3.37,1.41,0.1,0.23,20.3,0,0,0,2.7,2.7,0.09,0.3,0.3
24,Cameron Archer,eng ENG,FWMF,Aston Villa,21-197,2001,0.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
25,Alphonse Areola,fr FRA,GK,West Ham,29-341,1993,1.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
26,Joe Aribo,ng NGA,MFFW,Southampton,26-197,1996,12,2,13,8,61.5,1.08,0.67,0.15,0.25,10.7,0,0,0,1.4,1.4,0.11,0.6,0.6
27,Adam Armstrong,eng ENG,FW,Southampton,25-358,1997,11.3,1,18,8,44.4,1.59,0.71,0.06,0.13,15.9,0,0,0,1.4,1.4,0.08,-0.4,-0.4
28,Stuart Armstrong,sct SCO,MFFW,Southampton,30-310,1992,8.5,1,13,3,23.1,1.53,0.35,0.08,0.33,18.4,0,0,0,1.1,1.1,0.09,-0.1,-0.1
29,Kepa Arrizabalaga,es ESP,GK,Chelsea,28-123,1994,11.5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
30,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,33-230,1989,4.8,1,10,5,50,2.08,1.04,0.1,0.2,15.3,0,0,0,0.7,0.7,0.07,0.3,0.3
